line number	unstemmed tokens	stemmed tokens	proportion of tokens remaining	number of lines containing matching tokens	
1	22	6	0.2727272727272727	0	
2	25	6	0.24	0	
3	28	9	0.32142857142857145	0	
4	29	8	0.27586206896551724	0	
5	18	8	0.4444444444444444	0	
6	20	9	0.45	0	
7	20	10	0.5	0	
8	24	7	0.2916666666666667	0	
9	21	4	0.19047619047619047	0	
10	28	6	0.21428571428571427	0	
11	17	6	0.35294117647058826	0	
12	25	7	0.28	0	
13	20	4	0.2	0	
14	18	7	0.3888888888888889	0	
15	17	7	0.4117647058823529	0	
16	26	8	0.3076923076923077	0	
17	15	6	0.4	0	
18	22	6	0.2727272727272727	0	
19	20	5	0.25	0	
20	17	7	0.4117647058823529	1	
21	22	7	0.3181818181818182	0	
22	25	7	0.28	0	
23	15	8	0.5333333333333333	0	
24	13	4	0.3076923076923077	0	
25	19	6	0.3157894736842105	0	
26	19	5	0.2631578947368421	0	
27	20	9	0.45	0	
28	14	2	0.14285714285714285	0	
29	15	4	0.26666666666666666	0	
30	16	7	0.4375	0	
31	25	9	0.36	0	
32	16	4	0.25	0	
33	22	7	0.3181818181818182	0	
34	14	7	0.5	1	
35	18	5	0.2777777777777778	0	
36	21	5	0.23809523809523808	0	
37	18	4	0.2222222222222222	0	
38	15	9	0.6	0	
39	16	8	0.5	0	
40	12	5	0.4166666666666667	0	
41	10	4	0.4	0	
42	16	6	0.375	0	
43	15	3	0.2	0	
44	10	2	0.2	0	
45	9	3	0.3333333333333333	0	
46	12	4	0.3333333333333333	0	
47	10	7	0.7	0	
48	21	7	0.3333333333333333	0	
49	17	7	0.4117647058823529	0	
50	11	6	0.5454545454545454	0	
51	14	6	0.42857142857142855	0	
52	11	5	0.45454545454545453	0	
53	14	3	0.21428571428571427	0	
54	20	7	0.35	0	
55	17	5	0.29411764705882354	0	
56	11	4	0.36363636363636365	0	
57	14	5	0.35714285714285715	0	
58	11	4	0.36363636363636365	0	
59	17	8	0.47058823529411764	0	
60	7	3	0.42857142857142855	0	
61	17	5	0.29411764705882354	0	
62	14	4	0.2857142857142857	0	
63	17	5	0.29411764705882354	0	
64	15	6	0.4	0	
65	10	6	0.6	0	
66	13	5	0.38461538461538464	0	
67	15	5	0.3333333333333333	0	
68	10	3	0.3	0	
69	11	3	0.2727272727272727	0	
70	13	5	0.38461538461538464	0	
71	6	3	0.5	0	
72	7	2	0.2857142857142857	0	
73	11	4	0.36363636363636365	0	
74	8	2	0.25	0	
75	10	4	0.4	0	
76	14	5	0.35714285714285715	0	
77	12	4	0.3333333333333333	0	
78	17	8	0.47058823529411764	0	
79	14	5	0.35714285714285715	0	
80	18	5	0.2777777777777778	0	
81	8	5	0.625	0	
82	15	5	0.3333333333333333	0	
83	12	7	0.5833333333333334	0	
84	11	6	0.5454545454545454	0	
85	15	4	0.26666666666666666	0	
86	10	4	0.4	0	
87	16	6	0.375	0	
88	8	2	0.25	0	
89	10	4	0.4	0	
90	8	4	0.5	0	
91	10	6	0.6	0	
92	16	5	0.3125	0	
93	13	6	0.46153846153846156	0	
94	7	4	0.5714285714285714	0	
95	10	6	0.6	0	
96	11	3	0.2727272727272727	0	
97	8	3	0.375	0	
98	8	5	0.625	0	
99	10	4	0.4	0	
100	8	1	0.125	0	
